,Date,Confirmed
0,2020-01-22,555
1,2020-01-23,654
2,2020-01-24,941
3,2020-01-25,1434
4,2020-01-26,2118
5,2020-01-27,2927
6,2020-01-28,5578
7,2020-01-29,6166
8,2020-01-30,8234
9,2020-01-31,9927
10,2020-02-01,12038
11,2020-02-02,16787
12,2020-02-03,19881
13,2020-02-04,23892
14,2020-02-05,27635
15,2020-02-06,30794
16,2020-02-07,34330
17,2020-02-08,37059
18,2020-02-09,40086
19,2020-02-10,42627
20,2020-02-11,44667
21,2020-02-12,46554
22,2020-02-13,60193
23,2020-02-14,66667
24,2020-02-15,68745
25,2020-02-16,70869
26,2020-02-17,72804
27,2020-02-18,74594
28,2020-02-19,75018
29,2020-02-20,75563
30,2020-02-21,76185
31,2020-02-22,77938
32,2020-02-23,78267
33,2020-02-24,78870
34,2020-02-25,79715
35,2020-02-26,80683
36,2020-02-27,82041
37,2020-02-28,83407
38,2020-02-29,85306
39,2020-03-01,87664
40,2020-03-02,89601
41,2020-03-03,92134
42,2020-03-04,94414
43,2020-03-05,97180
44,2020-03-06,101095
45,2020-03-07,105141
46,2020-03-08,109115
47,2020-03-09,112884
48,2020-03-10,117914
49,2020-03-11,125169
50,2020-03-12,127646
51,2020-03-13,144497
52,2020-03-14,155393
53,2020-03-15,166746
54,2020-03-16,180866
55,2020-03-17,196388
56,2020-03-18,214100
57,2020-03-19,241849
58,2020-03-20,271486
59,2020-03-21,303785
60,2020-03-22,336228
61,2020-03-23,377510
62,2020-03-24,417320
63,2020-03-25,466928
64,2020-03-26,528866
65,2020-03-27,592566
66,2020-03-28,659966
67,2020-03-29,719413
68,2020-03-30,781662
69,2020-03-31,856760
70,2020-04-01,931871
71,2020-04-02,1012730
72,2020-04-03,1095181
73,2020-04-04,1196672
74,2020-04-05,1271379
75,2020-04-06,1344365
76,2020-04-07,1425360
77,2020-04-08,1510368
78,2020-04-09,1594614
79,2020-04-10,1690983
80,2020-04-11,1770778
81,2020-04-12,1845943
